date,P_t,vol,MA5,MA10,MA20,MA60,F_t
2023-07-21,9.78,2393677,9.78,9.78,9.78,9.78,9.78
2023-07-28,10.7,6673682,10.239999999999998,10.239999999999998,10.239999999999998,10.239999999999998,10.239999999999998
2023-08-04,10.74,6407566,10.406666666666666,10.406666666666666,10.406666666666666,10.406666666666666,10.406666666666666
2023-08-11,10.33,3369359,10.3875,10.3875,10.3875,10.3875,10.3875
2023-08-18,10.0,3886514,10.309999999999999,10.309999999999999,10.309999999999999,10.309999999999999,10.309999999999999
2023-08-25,9.67,4136737,10.288,10.203333333333333,10.203333333333333,10.203333333333333,10.203333333333333
2023-09-01,9.76,7283388,10.1,10.14,10.14,10.14,10.14
2023-09-08,9.71,3868118,9.894,10.08625,10.08625,10.08625,10.08625
2023-09-15,9.66,3082315,9.760000000000002,10.038888888888888,10.038888888888888,10.038888888888888,10.038888888888888
2023-09-22,9.68,3319276,9.696000000000002,10.003,10.003,10.003,10.003
2023-09-28,9.64,2217199,9.690000000000001,9.989,9.97,9.97,9.97
2023-10-13,9.44,3778233,9.626000000000001,9.863,9.925833333333333,9.925833333333333,9.925833333333333
2023-10-20,9.04,3362074,9.492,9.693000000000001,9.857692307692307,9.857692307692307,9.857692307692307
2023-10-27,8.89,4222270,9.338,9.549000000000001,9.788571428571428,9.788571428571428,9.788571428571428
2023-11-03,8.92,3350739,9.186,9.440999999999999,9.730666666666668,9.730666666666668,9.730666666666668
2023-11-10,8.74,4209928,9.006,9.348,9.66875,9.66875,9.66875
2023-11-17,8.59,4302026,8.836,9.231,9.605294117647059,9.605294117647059,9.605294117647059
2023-11-24,8.54,3949534,8.736,9.114,9.54611111111111,9.54611111111111,9.54611111111111
2023-12-01,8.1,4769781,8.578,8.958,9.47,9.47,9.47
2023-12-08,7.74,3752404,8.341999999999999,8.764,9.3835,9.3835,9.3835
2023-12-15,7.65,4781821,8.124,8.565,9.277,9.300952380952381,9.300952380952381
2023-12-22,7.64,4036822,7.934,8.385,9.124,9.225454545454546,9.225454545454546
2023-12-29,7.83,4112846,7.792,8.264,8.9785,9.164782608695651,9.164782608695651
2024-01-05,7.71,4747793,7.714,8.146,8.8475,9.104166666666666,9.104166666666666
2024-01-12,7.63,4453240,7.692,8.017,8.729,9.0452,9.0452
2024-01-19,7.61,6384855,7.684,7.903999999999999,8.626000000000001,8.99,8.99
2024-01-26,8.06,8909788,7.768000000000001,7.850999999999999,8.541,8.955555555555556,8.955555555555556
2024-02-02,7.71,8002066,7.744,7.768000000000001,8.440999999999999,8.911071428571429,8.911071428571429
2024-02-08,8.11,7517830,7.824,7.769,8.3635,8.883448275862069,8.883448275862069
2024-02-23,9.29,16273896,8.156,7.9239999999999995,8.344,8.896999999999998,8.896999999999998
2024-03-01,8.93,11600654,8.419999999999998,8.052000000000001,8.3085,8.89806451612903,8.89806451612903
2024-03-08,8.82,7949029,8.572,8.17,8.2775,8.895624999999999,8.895624999999999
2024-03-15,9.04,9779582,8.838,8.291,8.2775,8.9,8.9
2024-03-22,8.8,5729883,8.975999999999999,8.4,8.273,8.897058823529411,8.897058823529411
2024-03-29,8.96,6142308,8.91,8.533,8.275,8.898857142857143,8.898857142857143
2024-04-03,8.9,3258392,8.904,8.662,8.283,8.898888888888889,8.898888888888889
2024-04-12,8.5,5325575,8.84,8.706,8.2785,8.888108108108108,8.888108108108108
2024-04-19,9.13,9787469,8.858,8.847999999999999,8.308,8.894473684210526,8.894473684210526
2024-04-26,9.04,6912853,8.906,8.941,8.355,8.898205128205127,8.898205128205127
2024-04-30,9.23,3493734,8.959999999999999,8.934999999999999,8.4295,8.9065,8.9065
2024-05-10,9.38,6930245,9.056000000000001,8.98,8.516,8.918048780487805,8.918048780487805
2024-05-17,9.86,9264620,9.328,9.084,8.626999999999999,8.94047619047619,8.94047619047619
2024-05-24,9.75,9555690,9.452,9.155000000000001,8.723,8.959302325581396,8.959302325581396
2024-05-31,9.55,6255699,9.554,9.23,8.815000000000001,8.972727272727273,8.972727272727273
2024-06-07,9.43,5546127,9.594000000000001,9.277000000000001,8.905,8.982888888888889,8.982888888888889
2024-06-14,9.34,5136553,9.586,9.321,8.991499999999998,8.990652173913043,8.990652173913043
2024-06-21,9.16,3638227,9.446000000000002,9.387,9.046499999999998,8.994255319148937,8.994255319148937
2024-06-28,9.31,4192645,9.358,9.405000000000001,9.1265,9.000833333333334,9.000833333333334
2024-07-05,9.13,5888903,9.274,9.414,9.177499999999998,9.003469387755102,9.003469387755102
2024-07-12,9.47,4710566,9.282,9.437999999999999,9.1865,9.0128,9.0128
2024-07-19,9.53,5018373,9.32,9.453,9.2165,9.022941176470589,9.022941176470589
2024-07-26,9.19,4525108,9.325999999999999,9.386,9.235,9.026153846153846,9.026153846153846
2024-08-02,9.3,3815839,9.324,9.341,9.248000000000001,9.031320754716981,9.016923076923078
2024-08-09,9.2,3772808,9.338,9.306000000000001,9.268,9.034444444444444,8.988076923076923
2024-08-16,9.29,3448086,9.302000000000001,9.291999999999998,9.2845,9.039090909090909,8.960192307692306
2024-08-23,9.63,6267996,9.322,9.321000000000002,9.321000000000002,9.049642857142857,8.946730769230768
2024-08-30,9.32,4898095,9.348,9.337,9.362,9.054385964912282,8.933653846153847
2024-09-06,9.24,4206483,9.336,9.330000000000002,9.3675,9.057586206896552,8.925384615384614
2024-09-13,8.86,4664099,9.268,9.303,9.3585,9.054237288135594,8.908076923076923
2024-09-20,9.06,1925201,9.222,9.262,9.35,9.054333333333334,8.895576923076923
2024-09-27,10.58,11622288,9.412,9.367,9.41,9.067666666666668,8.91326923076923
2024-09-30,11.37,5430284,9.822,9.584999999999999,9.4855,9.078833333333334,8.945769230769232
2024-10-11,11.12,15655635,10.197999999999999,9.767,9.553999999999998,9.085166666666668,8.974230769230768
2024-10-18,11.44,10646292,10.714,9.991,9.6485,9.103666666666667,9.012692307692307
2024-10-25,11.11,7927362,11.123999999999999,10.173,9.7325,9.122166666666667,9.0525
2024-11-01,10.83,6689931,11.174,10.293,9.807,9.1415,9.08980769230769
2024-11-08,11.12,8397169,11.123999999999999,10.473,9.905,9.164166666666667,9.132115384615386
2024-11-15,10.84,6666444,11.068000000000001,10.633,9.9815,9.182999999999998,9.172500000000001
2024-11-22,10.68,10022659,10.916,10.815,10.059000000000001,9.2,9.212692307692308
2024-11-29,10.78,4653933,10.85,10.986999999999998,10.1245,9.218333333333334,9.25576923076923
2024-12-06,11.06,5478842,10.895999999999999,11.035,10.201,9.241999999999999,9.312692307692307
2024-12-13,10.96,6429589,10.864,10.994,10.2895,9.267333333333333,9.374615384615383
2024-12-20,11.02,4036453,10.9,10.984,10.375499999999999,9.300333333333333,9.439423076923077
2024-12-27,11.23,6775612,11.01,10.963,10.477,9.339333333333334,9.508461538461539
2025-01-03,10.78,5801491,11.01,10.93,10.5515,9.370333333333331,9.565192307692307
2025-01-10,10.7,4445402,10.937999999999999,10.917,10.605,9.402999999999999,9.622692307692308
2025-01-17,10.85,4353955,10.916,10.889999999999999,10.6815,9.440666666666667,9.684615384615386
2025-01-24,10.74,5541092,10.86,10.879999999999999,10.756499999999999,9.477333333333332,9.744807692307692
2025-01-27,10.87,1151935,10.788,10.899,10.857000000000001,9.523500000000002,9.798846153846153
2025-02-07,10.78,3206530,10.788,10.899,10.943000000000001,9.574166666666667,9.857884615384616
2025-02-14,10.95,5191615,10.838,10.888,10.9615,9.629166666666666,9.912500000000001
2025-02-21,11.04,6994690,10.876,10.896,10.944999999999999,9.685833333333333,9.946153846153846
2025-02-28,10.93,4635156,10.913999999999998,10.886999999999999,10.9355,9.7375,9.984615384615385
2025-03-07,11.07,4307226,10.953999999999999,10.871,10.916999999999998,9.7935,10.027884615384615
2025-03-14,11.37,6184916,11.072,10.93,10.93,9.855833333333333,10.072692307692307
2025-03-21,10.82,10048903,11.046,10.942,10.929499999999999,9.909333333333333,10.111538461538462
2025-03-28,10.75,3839344,10.988,10.932,10.911,9.954166666666667,10.145961538461538
2025-04-03,10.74,3374152,10.95,10.931999999999999,10.906,10.004666666666667,10.181346153846155
2025-04-11,10.29,6524369,10.794,10.874,10.8865,10.041,10.215769230769231
2025-04-18,10.58,3902587,10.636,10.854000000000001,10.8765,10.0625,10.243653846153848
2025-04-25,10.41,3858499,10.553999999999998,10.8,10.844,10.087166666666665,10.27
2025-04-30,10.31,2160898,10.466,10.727,10.811499999999999,10.112,10.290769230769229
2025-05-09,10.55,4037452,10.428,10.689,10.788,10.137166666666666,10.31326923076923
2025-05-16,10.78,5790354,10.526,10.66,10.7655,10.170166666666667,10.330961538461539
2025-05-23,10.86,4768915,10.581999999999999,10.609,10.769499999999999,10.201833333333331,10.352307692307694
2025-05-30,10.96,4209909,10.692,10.623,10.7825,10.236166666666666,10.379423076923077
